Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences	FLASh_mqc-generalstats-flash-perccombo	Bowtie 2 / HiSAT2_mqc-generalstats-bowtie_2_hisat2-overall_alignment_rate
ERR6913183_1	6.7992764587440035	45.0	139.9191095593024	0.0	1105520.0	63.46	
ERR6913183_2	6.669239261628121	45.0	139.90831283016138	0.0	1105520.0		
ERR6913184_1	8.012980418575395	44.0	140.0811398767842	0.0	957507.0	62.41	
ERR6913184_2	7.848887828118507	44.0	140.08220723190536	0.0	957507.0		
ERR6913185_1	10.626294528934508	43.0	137.5446691155435	0.0	87387.0	70.72	
ERR6913185_2	10.531314726446723	43.0	137.5216336526028	0.0	87387.0		
ERR6913186_1	6.748623514995458	45.0	137.9127429782285	0.0	1110902.0	61.62	
ERR6913186_2	6.58603069722858	45.0	137.90669113927243	0.0	1110902.0		
ERR6913279_1	70.29473599161003	50.0	139.81105066009556	30.0	1512887.0	83.6	
ERR6913279_2	69.78841188067862	50.0	139.80747074963298	20.0	1512887.0		
ERR6913280_1	71.12869631811121	50.0	138.10746960360947	20.0	1509143.0	85.73	
ERR6913280_2	70.52841425011383	50.0	138.10474554101236	20.0	1509143.0		
ERR6913281_1	56.96860250867242	50.0	137.76418362594416	10.0	1234575.0	87.32	
ERR6913281_2	56.84976075087535	50.0	137.75853228843934	10.0	1234575.0		
ERR6913282_1	39.201637539986	48.0	128.17836129360353	0.0	1352872.0	92.69	
ERR6913282_2	39.14844930544285	48.0	128.1788018378679	0.0	1352872.0		
lhohmann_bowtie_merged2PhiX							0.0
lhohmann_bowtie_merged2SC2							0.0
